clusters,extroversion,neurotic,agreeable,conscientious,open
0,2.9105966871665725,2.521777956214148,2.8529572786831396,2.9157326130992574,3.1208551563041773
1,2.9659756674348166,3.6472527748986145,3.148737584655792,3.1728709005464264,3.245979290149236
2,3.072190143027941,3.418469202497454,3.2994827967940483,3.2099725457202317,3.3525864588407206
3,3.0503289452359894,3.0097002264276753,3.18962312988799,3.161552951199974,3.24495973847372
4,3.0862835117935847,2.4197028672455336,3.2084843473012343,3.106754874982772,3.32627524226395
